ExtractID,SamplingSite,Longitude,Latitude,Country,Subspecies
AZA-01-01,Azagny,"-4,835","5,235",Côte d'Ivoire - South,Western
AZA-01-02,Azagny,"-4,835","5,235",Côte d'Ivoire - South,Western
AZA-01-03,Azagny,"-4,835","5,235",Côte d'Ivoire - South,Western
AZA-01-06,Azagny,"-4,835","5,235",Côte d'Ivoire - South,Western
AZA-01-08,Azagny,"-4,835","5,235",Côte d'Ivoire - South,Western
AZA-01-09,Azagny,"-4,835","5,235",Côte d'Ivoire - South,Western
AZA-01-10,Azagny,"-4,835","5,235",Côte d'Ivoire - South,Western
AZA-01-11,Azagny,"-4,835","5,235",Côte d'Ivoire - South,Western
AZA-01-12,Azagny,"-4,835","5,235",Côte d'Ivoire - South,Western
Baf1-12,Bafing,"-10,435","12,986",Mali,Western
Baf1-13,Bafing,"-10,435","12,986",Mali,Western
Baf1-16,Bafing,"-10,435","12,986",Mali,Western
Baf1-17,Bafing,"-10,435","12,986",Mali,Western
Baf1-19,Bafing,"14,014","-2,089",Mali,Western
Baf1-2,Bafing,"-10,435","12,986",Mali,Western
Baf1-5,Bafing,"-10,435","12,986",Mali,Western
Baf2-1,Bafing,"-10,435","12,986",Mali,Western
Baf2-26,Bafing,"-10,435","12,986",Mali,Western
Baf2-27,Bafing,"-10,435","12,986",Mali,Western
Baf2-4,Bafing,"-10,435","12,986",Mali,Western
Baf2-42,Bafing,"-10,435","12,986",Mali,Western
Baf2-43,Bafing,"-10,435","12,986",Mali,Western
Baf2-44,Bafing,"-10,435","12,986",Mali,Western
Baf2-46,Bafing,"-10,435","12,986",Mali,Western
Baf2-68,Bafing,"-10,435","12,986",Mali,Western
Baf2-7,Bafing,"-10,435","12,986",Mali,Western
Baf2-73,Bafing,"-10,435","12,986",Mali,Western
Baf2-74,Bafing,"-10,435","12,986",Mali,Western
Baf2-75,Bafing,"-10,435","12,986",Mali,Western
Bat1-1,Bateke,"14,014","-2,089",Gabon-South,Central
Bat1-10,Bateke,"14,014","-2,089",Gabon-South,Central
